GeoFIPS,GeoName,Region,ComponentId,ComponentName,IndustryId,IndustryClassification,Description,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
2000,Alaska,8,200,Gross domestic product (GDP) by state,78,72,   Accommodation and food services,1376,1405,1437,1453,1468,1488,1509,1524,1510,1522,1525,1508
2000,Alaska,8,200,Gross domestic product (GDP) by state,81,81,"   Other services, except government",854,865,882,886,881,907,910,923,925,929,930,943
2000,Alaska,8,200,Gross domestic product (GDP) by state,82,92, Government,10356,10390,10367,10399,10494,10533,10550,10537,10654,10708,10543,10558
4000,Arizona,6,200,Gross domestic product (GDP) by state,1,...,All industry total,276154,278607,283765,284636,287190,290463,292540,295597,296314,299626,306764,309103
4000,Arizona,6,200,Gross domestic product (GDP) by state,2,..., Private industries,237814,240068,245034,245450,248089,250712,252840,255520,256218,259704,265463,267622
4000,Arizona,6,200,Gross domestic product (GDP) by state,3,11,"   Agriculture, forestry, fishing, and hunting",2328,2459,2328,2280,2180,2209,2239,2047,2075,2048,1973,1911
4000,Arizona,6,200,Gross domestic product (GDP) by state,6,21,   Mining,7155,7457,7534,6671,5331,5395,4733,4078,2907,3842,3957,4312
4000,Arizona,6,200,Gross domestic product (GDP) by state,10,22,   Utilities,5664,5441,5929,5544,5497,5504,5587,5505,5978,5608,5874,5839
4000,Arizona,6,200,Gross domestic product (GDP) by state,11,23,   Construction,11802,11328,11184,11551,11468,11700,11851,12268,12352,12634,13202,13364
4000,Arizona,6,200,Gross domestic product (GDP) by state,12,31-33,   Manufacturing,22089,23044,23826,23933,23913,23902,23867,24360,24150,24261,24557,24739
4000,Arizona,6,200,Gross domestic product (GDP) by state,13,...,     Durable goods manufacturing,18276,19148,19825,19924,19737,19640,19551,20021,19905,19915,20136,20376
4000,Arizona,6,200,Gross domestic product (GDP) by state,25,...,     Nondurable goods manufacturing,3813,3895,4000,4009,4176,4262,4316,4338,4244,4346,4421,4363
4000,Arizona,6,200,Gross domestic product (GDP) by state,34,42,   Wholesale trade,15853,16099,16353,16421,16519,16791,16804,16952,16910,16846,17095,17101
4000,Arizona,6,200,Gross domestic product (GDP) by state,35,44-45,   Retail trade,21767,21941,22297,22306,22670,22793,23172,23131,23703,23832,23634,23798
4000,Arizona,6,200,Gross domestic product (GDP) by state,36,48-49,   Transportation and warehousing,8364,8412,8563,8718,8946,9039,9133,9270,9117,9513,9506,9598
4000,Arizona,6,200,Gross domestic product (GDP) by state,45,51,   Information,8271,8281,8276,8353,8732,8772,8873,9176,8884,9115,10030,10105
4000,Arizona,6,200,Gross domestic product (GDP) by state,51,52,   Finance and insurance,17985,17729,17986,18293,19212,19786,20164,20344,19826,20842,21977,22522
4000,Arizona,6,200,Gross domestic product (GDP) by state,56,53,   Real estate and rental and leasing,41914,42070,43266,43150,44259,44781,45325,45985,46730,46926,47593,47694
4000,Arizona,6,200,Gross domestic product (GDP) by state,60,54,"   Professional, scientific, and technical services",15181,15271,15618,15673,15904,16141,16230,16455,16920,17280,17271,17193
