GeoFIPS,GeoName,Region,Description,2014,2015,2016
" ""54000"" ",West Virginia,5,RPPs: All items,88.2,88.7,87.6
" ""54000"" ",West Virginia,5,  RPPs: Goods,94.5,94.5,94.4
" ""54000"" ",West Virginia,5,  RPPs: Services: Rents,64.4,66,63.2
" ""54000"" ",West Virginia,5,  RPPs: Services: Other,95,95,94.9
" ""55000"" ",Wisconsin,3,RPPs: All items,93.3,93.2,92.8
" ""55000"" ",Wisconsin,3,  RPPs: Goods,96,96,95.9
" ""55000"" ",Wisconsin,3,  RPPs: Services: Rents,86.6,85.9,84.8
" ""55000"" ",Wisconsin,3,  RPPs: Services: Other,93.6,93.6,93.4
" ""56000"" ",Wyoming,7,RPPs: All items,96.8,96.4,96.7
" ""56000"" ",Wyoming,7,  RPPs: Goods,98.8,98.8,98.7
" ""56000"" ",Wyoming,7,  RPPs: Services: Rents,93.5,91.5,92.9
" ""56000"" ",Wyoming,7,  RPPs: Services: Other,96,95.9,96.1
Note: See the included footnote file.,,,,,,
RPP1: Regional Price Parities by state,,,,,,
"Last updated: May 17, 2018-- new estimates for 2016; revised estimates for 2014-2015. ",,,,,,
Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Prices Branch,,,,,,
