"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"46000","South Dakota","4","SA25 1/","620","G","      Retail trade",49372,49750,51286,50432,53811,54897,52355,56578,58116,60403,61583,60349,59771,58604,59284,60768,61312,60627,63936,64684,67107,70751,73478,75307,77269,82440,85208,86358,86051,84875,85488,87456,87308
"46000","South Dakota","4","SA25 1/","621","52","        Building materials and garden equipment",5320,5231,5250,4790,5080,5130,3142,3238,3642,3910,3896,3558,3427,3206,3309,3202,3189,3000,2852,2949,2992,3069,3071,3207,3390,3683,4179,4113,4029,4184,4176,4318,"(NA)"
"46000","South Dakota","4","SA25 1/","622","53","        General merchandise stores",5087,4877,4889,5042,5505,5629,4499,4983,4646,5270,5350,5328,4993,4803,5170,5563,5819,5948,6347,6923,7451,8265,9100,9380,8724,8845,9008,8592,8498,8428,8594,8651,"(NA)"
"46000","South Dakota","4","SA25 1/","623","54","        Food stores",6197,6290,6454,6090,6308,6454,6648,6944,7181,7400,7640,7776,7810,7840,7859,8260,8201,8282,8716,8818,9036,9302,9661,9754,9760,10103,10390,10483,10481,10407,10161,10304,"(NA)"
"46000","South Dakota","4","SA25 1/","624","55","        Automotive dealers and service stations",9321,9327,9586,9488,9620,9366,8817,9049,9168,9130,8886,8063,7671,7480,7428,7525,7668,7396,7639,7952,8113,8364,8309,8482,9851,10389,10804,11153,11576,11749,11838,11938,"(NA)"
"46000","South Dakota","4","SA25 1/","625","56","        Apparel and accessory stores",2360,2448,2424,2407,2579,2637,2773,2919,2954,3184,3403,3308,3328,3166,3118,3045,3012,2924,2883,2852,2974,3007,2911,2878,2653,2723,2698,2643,2562,2526,2366,2273,"(NA)"
"46000","South Dakota","4","SA25 1/","626","57","        Home furniture and furnishings stores",2022,1917,1895,1907,2151,2210,2300,2451,2478,2467,2501,2399,2286,2285,2427,2442,2496,2350,2396,2450,2424,2485,2530,2631,2739,3009,3240,3198,3154,3266,3377,3445,"(NA)"
"46000","South Dakota","4","SA25 1/","627","58","        Eating and drinking places",11767,11941,12329,12213,13300,13860,14475,16282,17093,17581,18091,17615,17872,17378,18080,18899,19249,18814,20035,20123,21033,22643,23291,23627,23782,24673,25481,26139,26289,26310,26660,27160,"(NA)"
"46000","South Dakota","4","SA25 1/","628","59","        Miscellaneous retail",7298,7719,8459,8495,9268,9611,9701,10712,10954,11461,11816,12302,12384,12446,11893,11832,11678,11913,13068,12617,13084,13616,14605,15348,16370,19015,19408,20037,19462,18005,18316,19367,"(NA)"
"46000","South Dakota","4","SA25 1/","700","H","      Finance, insurance, and real estate",18164,17714,16087,14612,17146,17373,17371,17819,19103,20366,20435,20917,20972,21678,22308,23131,23777,24342,24745,24713,25939,26928,27192,27238,27992,29870,31305,32886,32894,35898,38184,41061,42550
"46000","South Dakota","4","SA25 1/","710","60, 61","        Depository and nondepository institutions",3971,4048,4135,4300,4458,4757,5005,5207,5432,5720,6007,6170,6526,6852,7226,7967,8562,8585,8737,8799,9741,10087,10178,10545,10514,10571,11234,12024,12866,14135,15793,16924,"(NA)"
"46000","South Dakota","4","SA25 1/","730","62-65, 67","        Other finance, insurance, and real estate",14193,13666,11952,10312,12688,12616,12366,12612,13671,14646,14428,14747,14446,14826,15082,15164,15215,15757,16008,15914,16198,16841,17014,16693,17478,19299,20071,20862,20028,21763,22391,24137,"(NA)"
"46000","South Dakota","4","SA25 1/","731","62","          Security and commodity brokers",636,503,372,430,374,268,237,268,255,293,394,428,468,555,621,618,586,649,727,724,687,719,742,826,718,881,882,957,1027,995,943,1024,"(NA)"
"46000","South Dakota","4","SA25 1/","732","63","          Insurance carriers",1581,1571,1470,1528,1594,1818,1917,1978,2119,2324,2400,2362,2243,2311,2418,2432,2395,2364,2349,2337,2178,2292,2296,2356,2374,2400,2486,2536,2522,2693,2703,2836,"(NA)"
"46000","South Dakota","4","SA25 1/","733","64","          Insurance agents, brokers, and services",2398,2436,2506,2687,2597,2531,2563,2661,2933,2875,2951,3124,3353,3535,3765,3900,3790,4031,3995,3775,4202,4639,4999,4712,5336,6212,5933,5748,5873,5940,5959,5836,"(NA)"
"46000","South Dakota","4","SA25 1/","734","65","          Real estate",3390,3390,3807,4191,5852,5976,6235,6223,6903,6873,6794,7296,7131,7338,7313,7265,7467,7525,7071,7255,7094,7531,7489,7478,7766,7868,8641,8997,8099,8482,8279,9092,"(NA)"
"46000","South Dakota","4","SA25 1/","735","...","          Combined real estate, insurance, etc. 4/",199,260,178,293,242,247,226,220,234,229,202,168,172,191,161,154,136,140,72,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"46000","South Dakota","4","SA25 1/","736","67","          Holding and other investment offices",5989,5506,3619,1183,2029,1776,1188,1262,1227,2052,1687,1369,1079,896,804,795,841,1048,1794,1823,2037,1660,1488,1321,1284,1938,2129,2624,2507,3653,4507,5349,"(NA)"
"46000","South Dakota","4","SA25 1/","800","I","      Services",50614,50883,52748,54559,56948,57229,59014,62680,64648,68235,69045,70341,71916,73269,76143,78285,80839,83365,89237,91524,93997,98178,102835,105246,110071,117286,119441,123194,126222,127540,131492,136007,136526
