date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
12/31/06,-72,532,479,53,604,536,68,Manufacturing
3/31/07,-64,525,474,51,589,524,65,Manufacturing
6/30/07,-65,514,467,47,579,510,69,Manufacturing
9/30/07,-96,473,423,50,569,507,62,Manufacturing
12/31/07,-60,504,456,48,564,498,66,Manufacturing
3/31/08,-121,478,426,52,599,533,66,Manufacturing
6/30/08,-123,473,425,48,596,528,68,Manufacturing
9/30/08,-211,433,389,44,644,579,65,Manufacturing
12/31/08,-415,385,340,45,800,726,74,Manufacturing
3/31/09,-669,299,263,36,968,901,67,Manufacturing
6/30/09,-545,364,321,43,909,835,74,Manufacturing
9/30/09,-96,475,434,41,571,498,73,Manufacturing
12/31/09,-102,416,370,46,518,456,62,Manufacturing
3/31/10,-50,420,382,38,470,410,60,Manufacturing
6/30/10,77,477,436,41,400,350,50,Manufacturing
9/30/10,49,452,411,41,403,349,54,Manufacturing
12/31/10,19,447,402,45,428,375,53,Manufacturing
3/31/11,58,436,398,38,378,332,46,Manufacturing
6/30/11,72,454,413,41,382,332,50,Manufacturing
9/30/11,60,468,425,43,408,359,49,Manufacturing
12/31/11,13,432,393,39,419,371,48,Manufacturing
3/31/12,73,441,402,39,368,326,42,Manufacturing
6/30/12,79,449,410,39,370,325,45,Manufacturing
9/30/12,9,418,380,38,409,364,45,Manufacturing
12/31/12,-9,414,375,39,423,374,49,Manufacturing
3/31/13,26,405,368,37,379,335,44,Manufacturing
6/30/13,32,419,379,40,387,339,48,Manufacturing
9/30/13,10,410,370,40,400,354,46,Manufacturing
12/31/13,27,422,383,39,395,349,46,Manufacturing
3/31/14,31,403,366,37,372,331,41,Manufacturing
6/30/14,63,435,399,36,372,324,48,Manufacturing
9/30/14,18,410,370,40,392,349,43,Manufacturing
12/31/14,63,442,404,38,379,336,43,Manufacturing
3/31/15,-2,391,357,34,393,351,42,Manufacturing
6/30/15,30,431,395,36,401,358,43,Manufacturing
9/30/15,-19,396,360,36,415,371,44,Manufacturing
12/31/15,-12,414,374,40,426,380,46,Manufacturing
3/31/16,-22,385,350,35,407,364,43,Manufacturing
6/30/16,-22,412,374,38,434,385,49,Manufacturing
9/30/16,-27,401,360,41,428,380,48,Manufacturing
12/31/16,19,412,372,40,393,348,45,Manufacturing
3/31/17,25,407,373,34,382,338,44,Manufacturing
6/30/17,53,444,405,39,391,344,47,Manufacturing
9/30/17,-29,396,359,37,425,376,49,Manufacturing
12/31/17,93,460,421,39,367,321,46,Manufacturing
3/31/18,66,420,386,34,354,315,39,Manufacturing
9/30/92,-4,364,293,71,368,302,66,Natural resources and mining
