date,contract_establish,end_establish,expand_establish,net_change,open_establish,total_contract,total_expand,state
3/31/97,31380,6807,31449,897,7635,38187,39084,West Virginia
6/30/97,29176,7300,32273,3224,7427,36476,39700,West Virginia
9/30/97,31990,6638,32082,3447,9993,38628,42075,West Virginia
12/31/97,32577,7445,33184,2111,8949,40022,42133,West Virginia
3/31/98,32291,8067,31962,-539,7857,40358,39819,West Virginia
6/30/98,29797,6803,33775,6506,9331,36600,43106,West Virginia
9/30/98,34663,7384,32814,-1253,7980,42047,40794,West Virginia
12/31/98,34017,7701,34112,1675,9281,41718,43393,West Virginia
3/31/99,34987,8293,32360,-3203,7717,43280,40077,West Virginia
6/30/99,32076,7921,33341,2487,9143,39997,42484,West Virginia
9/30/99,32721,9193,33928,-275,7711,41914,41639,West Virginia
12/31/99,33407,7773,34799,1920,8301,41180,43100,West Virginia
3/31/00,31768,7823,36147,5229,8673,39591,44820,West Virginia
6/30/00,33846,7212,32686,-980,7392,41058,40078,West Virginia
9/30/00,33869,8175,35084,-501,6459,42044,41543,West Virginia
12/31/00,32982,6488,32974,613,7109,39470,40083,West Virginia
3/31/01,32322,6579,34078,2203,7026,38901,41104,West Virginia
6/30/01,33945,7217,33062,-1319,6781,41162,39843,West Virginia
9/30/01,33808,8220,31567,-4200,6261,42028,37828,West Virginia
12/31/01,31930,6919,31828,659,7680,38849,39508,West Virginia
3/31/02,32033,7452,33365,1386,7506,39485,40871,West Virginia
6/30/02,33881,6863,30913,-3657,6174,40744,37087,West Virginia
9/30/02,32212,6029,32497,574,6318,38241,38815,West Virginia
12/31/02,32737,7355,30674,-3175,6243,40092,36917,West Virginia
3/31/03,31863,6312,29120,-2226,6829,38175,35949,West Virginia
6/30/03,30716,6714,30613,829,7646,37430,38259,West Virginia
9/30/03,31912,6664,30726,-952,6898,38576,37624,West Virginia
