GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
Kentucky,2000,66726,115126,39948,35701,92.595,144553,-665,9117,8452
Louisiana,2000,68430,134251,56108,40908,87.316,182934,-412,10125,9713
Maine,2000,21467,36684,12025,36202,92.056,46233,-150,3342,3192
Maryland,2000,114289,192934,67027,45745,80.113,242954,-701,12320,11619
Massachusetts,2000,178254,289554,98039,54703,90.914,347972,-969,14230,13261
Michigan,2000,215200,351996,114431,42325,114.967,421242,-932,23297,22365
Minnesota,2000,116231,192948,64580,48055,91.378,237089,-999,13136,12137
Mississippi,2000,38008,66171,22827,29272,90.448,83377,-382,5718,5336
Missouri,2000,109164,187707,67494,41722,93.739,233947,-695,11743,11048
Montana,2000,12166,21884,8249,31816,80.759,28754,-192,1661,1469
Nebraska,2000,32910,57551,21482,42015,83.058,72007,-651,3810,3160
Nevada,2000,42572,75777,27306,48826,82.496,98568,-206,6104,5899
New Hampshire,2000,26014,44135,14953,43194,88.257,53555,-99,3267,3168
New Jersey,2000,209825,360703,122741,53276,92.765,449153,-1184,29321,28136
New Mexico,2000,26800,55597,25247,37950,83.583,69116,-293,3844,3551
New York,2000,479137,824386,293138,53046,88.114,1007960,-4097,56207,52110
North Carolina,2000,156048,276963,104813,42201,83.404,341051,-1405,17507,16102
North Dakota,2000,10169,17991,6576,35134,69.697,22557,-349,1595,1246
Ohio,2000,229028,391503,138484,42320,100.629,480907,-1214,25205,23991
Oklahoma,2000,52170,92083,34123,34212,82.425,118180,-529,6319,5791
Oregon,2000,68813,118086,44518,38365,72.606,131579,-754,5509,4755
Pennsylvania,2000,243247,409473,140608,42073,91.030,516834,-1618,27237,25619
Rhode Island,2000,19850,34405,11885,41191,90.506,43261,-103,2774,2671
South Carolina,2000,67446,116812,41473,36388,90.928,146434,-393,8285,7893
South Dakota,2000,11810,23267,10072,36110,74.769,27294,-471,1856,1385
Tennessee,2000,103092,182844,67072,39277,90.580,224024,-517,13198,12681
Texas,2000,406396,752007,288583,45102,80.636,944631,-2643,59671,57028
Utah,2000,40072,70550,26097,38960,76.355,87446,-243,4624,4381
